Dimension,x,y,z,A,Fx,Fy,Fz
0.0,4.65116481,-0.8753602,-0.95341924,6.0,-0.00226694,-0.0009908,-0.00055906
1.0,4.52871416,0.49243101,-0.68728938,6.0,5.086e-05,0.00149402,-0.00094421
2.0,3.26602428,1.06821027,-0.44491504,6.0,-0.00220344,-0.0010071,0.00046995
3.0,2.10756895,0.23795426,-0.46852147,6.0,0.00088549,0.00012105,-0.0005135
4.0,2.23628978,-1.16665823,-0.73865675,6.0,-0.00233652,-0.00087927,-0.00137338
5.0,0.81754253,0.79900697,-0.22335366,6.0,-0.00073251,-0.00112995,-0.00083504
6.0,-0.33709486,-0.02544311,-0.24421878,6.0,0.00058745,0.00076279,0.00046989
7.0,-0.2082249,-1.44203732,-0.51056418,6.0,0.00041035,-0.00075174,-0.00044804
8.0,-1.61796231,0.53646952,-0.00506386,6.0,0.00144475,-0.00111354,0.00017967
9.0,-2.7825168,-0.28994893,-0.02617759,6.0,0.00101121,0.00063326,-0.00064607
10.0,-2.65585484,-1.69653034,-0.28867969,6.0,0.00171472,-0.00130417,0.00123182
11.0,3.10362013,2.47040186,-0.17016319,6.0,0.00077735,-0.0005224,0.00171071
12.0,1.87274898,3.01144854,0.06298356,6.0,-0.0019907,-0.00032447,-0.00017298
13.0,0.68527413,2.20270826,0.04455761,6.0,0.00038752,-8.922e-05,0.00160745
14.0,-0.58839419,2.73941868,0.2778033,6.0,0.00106577,-0.00064226,0.00129856
15.0,-1.74100773,1.94196827,0.25811528,6.0,0.00097517,0.00044331,8.731e-05
16.0,-4.06861504,0.27769285,0.2122029,6.0,0.00273272,-0.00088076,0.0020177
17.0,-5.20371277,-0.55704036,0.18754495,6.0,0.00131738,0.00127599,-0.00119109
18.0,-5.07773031,-1.92652785,-0.0674999,6.0,0.00297564,-0.00010711,-0.00060082
19.0,-3.0513274,2.48294542,0.4932408,6.0,0.00214857,-0.00063234,-5.595e-05
20.0,-4.16150092,1.68965386,0.4710969,6.0,0.00176429,8.078e-05,0.00147972
21.0,5.63922883,-1.30326291,-1.13949368,1.0,-0.00134962,0.00093043,-2.967e-05
22.0,5.41616692,1.12956844,-0.66582235,1.0,-0.00158318,0.00157933,-0.00069867
23.0,3.99602191,3.1011884,-0.15149558,1.0,-0.00111236,-0.00210208,0.00025644
24.0,1.76916671,4.07959819,0.26975514,1.0,-0.00244522,-0.00066103,-0.00077185
25.0,-0.68563356,3.80936816,0.48038613,1.0,0.00052594,0.00023695,-0.00040994
26.0,-6.18864102,-0.12060444,0.37068333,1.0,0.00238125,0.00165301,0.00022019
27.0,-5.96971461,-2.55746413,-0.08210656,1.0,0.00218467,0.00065759,-0.00099512
28.0,-3.14191569,3.55388762,0.69174578,1.0,0.00324478,-0.0005531,0.0010377
29.0,-5.15025955,2.11895683,0.65203807,1.0,0.00188472,-0.00127558,-0.00022374
30.0,-3.82891595,-2.49257109,-0.30262036,6.0,0.00149124,0.00015077,0.00125573
31.0,-3.73799609,-3.56308766,-0.50168954,1.0,0.00322905,-0.00097692,-0.00027485
32.0,-1.37076562,-2.23948727,-0.52418143,6.0,0.00082527,0.00039384,-0.00107919
33.0,-1.27737282,-3.3098572,-0.72461638,1.0,0.00223635,-0.00013334,0.00017201
34.0,1.0753381,-1.97456396,-0.74943996,6.0,-2.823e-05,0.00087783,-0.00107097
35.0,1.17679776,-3.04387357,-0.95141418,1.0,-0.00125449,-0.00053597,0.00052944
36.0,3.5288296,-1.69601946,-0.98038746,6.0,-0.00010207,-0.00093866,-0.00067353
37.0,3.63201995,-2.76469351,-1.1823954,1.0,-0.00262417,-0.00126128,-0.0015025
38.0,3.647172,-1.99323963,2.2701866,8.0,-0.0127212,0.01113231,0.00191542
39.0,3.58196532,-0.85334798,2.39780953,7.0,-0.00550185,-0.00361014,-0.00086955
